Disease_Name,Category,Severity_Level,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Medication_1,Medication_2,Medication_3,
Heat Stroke,Heat Illness,High,High body temperature,Confusion,,,,,,IV fluids,Cooling blankets,,
Conjunctivitis,Eye Infection,Mild,Eye redness,Eye discharge,,,,,,Antibiotic eye drops,Artificial tears,,
Tetanus,Neurological,Critical,Muscle stiffness,Jaw cramping,,,,,,Tetanus immunoglobulin,Metronidazole,,
Rabies,Viral Infection,Critical,Hydrophobia,Confusion,,,,,,Rabies vaccine,Rabies immunoglobulin,,
Migraine (Aura type),Neurological,Moderate,Visual disturbances,Throbbing headache,,,,,,Sumatriptan,Naproxen,,
Hiccups (Persistent),Neurological,Mild,Involuntary hiccups,,,,,,,Baclofen,Chlorpromazine,,
Appendicitis (early),Digestive,High,Lower right abdominal pain,Nausea,,,,,,Ceftriaxone,Surgery (appendectomy),,
Vertigo,Neurological,Moderate,Dizziness,Nausea,,,,,,Meclizine,Diazepam,,
Tonsillitis (Viral),Respiratory,Moderate,Sore throat,Fever,,,,,,Paracetamol,Warm saline gargle,,
Otitis Externa,Ear Infection,Mild,Ear pain,Ear drainage,,,,,,Ciprofloxacin ear drops,Analgesics,,
Plantar Fasciitis,Orthopedic,Mild,Heel pain,Stiffness in foot,,,,,,Ibuprofen,Orthotic inserts,,
Chalazion,Eye Condition,Mild,Eyelid lump,Swelling,,,,,,Warm compress,Erythromycin eye ointment,,
Gastric Ulcer,Digestive,Moderate,Stomach pain,Nausea,,,,,,Omeprazole,Amoxicillin,,
Scabies,Skin Condition,Moderate,Itchy skin,Rash,,,,,,Permethrin cream,Ivermectin (oral),,
Bell’s Palsy,Neurological,Moderate,Facial muscle weakness,Drooping face,,,,,,Prednisolone,Eye lubricants,,
Anosmia,Neurological,Mild,Loss of smell,,,,,,,Nasal corticosteroids,Smell training,,
Color Blindness,Genetic,Mild,Altered color perception,,,,,,,No treatment,Visual aids,,
Hiccups (Persistent),Neurological,Mild,Involuntary hiccups,,,,,,,Chlorpromazine,Metoclopramide,,
Tinnitus (Isolated),ENT,Mild,Ear ringing,,,,,,,Sound therapy,CBT,,
Scurvy,Nutritional Deficiency,Moderate,Bleeding gums,Fatigue,,,,,,Vitamin C supplementation,,,
Motion Sickness,Neurological,Mild,Nausea,Dizziness,,,,,,Antihistamines,Scopolamine patch,,
Tarsal Tunnel Syndrome,Neurological,Moderate,Foot pain,Tingling,,,,,,NSAIDs,Physical therapy,,
Urticaria (Hives),Allergic,Mild,Itching,Raised welts,,,,,,Antihistamines,Prednisone,,
Rosacea (Early stage),Skin,Mild,Facial redness,Pimples,,,,,,Metronidazole cream,Doxycycline,,
Bowen’s Disease,Skin,Mild,Scaly patch,Red lesion,,,,,,Fluorouracil cream,Cryotherapy,,
Molluscum Contagiosum,Viral,Mild,Small bumps,Itching,,,,,,Cryotherapy,Cantharidin,,
Scabies (Early),Parasitic,Mild,Itching,Red bumps,,,,,,Permethrin cream,Ivermectin,,
Epididymitis (Initial),Reproductive,Moderate,Scrotal pain,Swelling,,,,,,Doxycycline,Ciprofloxacin,,
Orchitis (Initial),Reproductive,Moderate,Testicular pain,Swelling,,,,,,Ceftriaxone,Azithromycin,,
Raynaud’s Disease (Initial),Vascular,Mild,Cold fingers/toes,Numbness,,,,,,Nifedipine,Topical nitrates,,
Ménière’s Disease (Early),ENT,Moderate,Vertigo,Hearing loss,,,,,,Diuretics,Betahistine,,
Common Cold (Initial),Infectious,Mild,Sneezing,Runny nose,,,,,,Rest,Antihistamines,Decongestants,
Flu (Early),Viral,Mild,Fever,Body ache,,,,,,Antivirals,Rest,Fluids,
Migraine,Neurological,Moderate,Headache,Nausea,,,,,,Triptans,NSAIDs,Rest,
Tension Headache,Neurological,Mild,Headache,,,,,,,Ibuprofen,Relaxation techniques,,
Seasonal Allergies,Allergic,Mild,Sneezing,Itchy eyes,,,,,,Antihistamines,Nasal sprays,,
Acute Cough,Respiratory,Mild,Cough,,,,,,,Cough suppressants,Steam,,
Fever of Unknown Origin (Early),General,Mild,Fever,,,,,,,Paracetamol,Fluids,Monitor,
Conjunctivitis (Viral),Infectious,Mild,Red eyes,Tearing,,,,,,Eye drops,Hygiene,,
Gastritis (Mild),Digestive,Mild,Stomach pain,Nausea,,,,,,Antacids,PPIs,,
Dysmenorrhea (Cramps),Reproductive,Mild,Lower abdominal pain,,,,,,,NSAIDs,Heat therapy,,
Dehydration (Mild),General,Mild,Thirst,Fatigue,,,,,,ORS,Fluids,,
Sore Throat (Initial),Infectious,Mild,Throat pain,Dryness,,,,,,Lozenges,Warm fluids,,
Heat Exhaustion,Environmental,Mild,Fatigue,Dizziness,,,,,,Rest,Hydration,,
Nasal Congestion (Non-allergic),Respiratory,Mild,Blocked nose,,,,,,,Decongestants,Saline sprays,,
Mild Constipation,Digestive,Mild,Hard stool,Abdominal discomfort,,,,,,Fiber,Laxatives,,
Indigestion,Digestive,Mild,Bloating,Burping,,,,,,Antacids,Digestive enzymes,,
Dry Eyes,Eye,Mild,Eye dryness,Irritation,,,,,,Artificial tears,Eye drops,,
Toothache (Early cavity),Dental,Mild,Tooth pain,,,,,,,Analgesics,Dental cleaning,,
Hiccups (Short-term),Neurological,Mild,Hiccups,,,,,,,Sipping water,Holding breath,,
Laryngitis (Viral),Respiratory,Mild,Hoarseness,Dry cough,,,,,,Voice rest,Hydration,,
Sinusitis (Acute),Respiratory,Mild,Headache,Facial pressure,,,,,,Decongestants,Steam,Pain relievers,
Earwax Blockage,ENT,Mild,Ear fullness,Mild hearing loss,,,,,,Ear drops,Irrigation,,
Chilblains,Environmental,Mild,Red skin patches,Itching,,,,,,Warming,Moisturizers,,
Mild Anemia,Hematologic,Mild,Fatigue,Pale skin,,,,,,Iron supplements,Diet changes,,
Hyperventilation,Respiratory,Mild,Dizziness,Rapid breathing,,,,,,Breathing control,Relaxation,,
Motion Sickness,Neurological,Mild,Nausea,Dizziness,,,,,,Antiemetics,Ginger,Rest,
Jet Lag,Circadian,Mild,Sleep issues,Fatigue,,,,,,Sleep hygiene,Light exposure,,
"Tonsillitis (Viral, Mild)",Infectious,Mild,Throat pain,Fever,,,,,,Rest,Fluids,Painkillers,
Eye Strain,Eye,Mild,Blurred vision,Headache,,,,,,Screen breaks,Eye drops,,
Muscle Cramps,Musculoskeletal,Mild,Muscle tightness,Pain,,,,,,Stretching,Electrolyte correction,,
Sunburn (Mild),Skin,Mild,Redness,Burning sensation,,,,,,Aloe vera,Cool compresses,,
Bug Bite Reaction,Allergic,Mild,Itching,Swelling,,,,,,Antihistamines,Topical creams,,
Gas (Flatulence),Digestive,Mild,Abdominal bloating,Passing gas,,,,,,Antacids,Simethicone,,
Heartburn,Digestive,Mild,Chest discomfort,Burning sensation,,,,,,Antacids,PPIs,,
Dry Mouth,Oral,Mild,Dryness,Bad breath,,,,,,Sugar-free gum,Hydration,,
Hemorrhoids (Early),Digestive,Mild,Anal itching,Mild bleeding,,,,,,Creams,Sitz baths,,
Hypoglycemia (Mild),Metabolic,Mild,Weakness,Shakiness,,,,,,Sugar intake,Glucose tablets,,
Urinary Tract Infection (Early),Urinary,Mild,Painful urination,Frequent urination,,,,,,Antibiotics,Fluids,,
Viral Exanthem (Mild rash),Infectious,Mild,Skin rash,Itching,,,,,,Calamine lotion,Antihistamines,,
Mild Dehydration in Kids,Pediatric,Mild,Dry mouth,Less urination,,,,,,ORS,Hydration,,
Allergic Rhinitis (Early),Allergic,Mild,Sneezing,Runny nose,,,,,,Antihistamines,Nasal sprays,,
Dry Eyes,Eye,Mild,Eye dryness,Grittiness,,,,,,Artificial tears,Humidifier,,
Indigestion (Dyspepsia),Digestive,Mild,Stomach discomfort,Bloating,,,,,,Antacids,Dietary adjustments,,
Cold Sores (Initial),Viral,Mild,Lip tingling,Blister (later),,,,,,Acyclovir,Topical cream,,
Athlete’s Foot (Early),Fungal,Mild,Itching,Redness,,,,,,Antifungal creams,,,
Chapped Lips,Environmental,Mild,Dry lips,Cracking,,,,,,Lip balm,Hydration,,
Mild Constipation,Digestive,Mild,Hard stools,Infrequent bowel movement,,,,,,Fiber,Laxatives,,
Tension Headache,Neurological,Mild,Headache,Neck tension,,,,,,Pain relievers,Relaxation,,
Nosebleeds (Epistaxis),ENT,Mild,Bleeding from nose,Irritation,,,,,,Pinch nose,Nasal lubrication,,
Teething (Infants),Pediatric,Mild,Gum swelling,Irritability,,,,,,Teething gels,Chew toys,,
Choking Cough (Dry air),Respiratory,Mild,Cough,Throat dryness,,,,,,Steam,Lozenges,,
Low-grade Fever (Viral),Infectious,Mild,Fever,Mild chills,,,,,,Rest,Fluids,,
Insomnia (Situational),Sleep,Mild,Difficulty sleeping,Fatigue,,,,,,Sleep hygiene,Relaxation,,
Hand Strain (Overuse),Musculoskeletal,Mild,Hand pain,Weak grip,,,,,,Rest,Ice,Ergonomics,
Wrist Tendinitis,Musculoskeletal,Mild,Wrist pain,Swelling,,,,,,NSAIDs,Brace,,
Irritant Dermatitis,Skin,Mild,Skin redness,Burning sensation,,,,,,Moisturizers,Barrier creams,,
Dental Caries (Early),Dental,Mild,Tooth sensitivity,Pain while eating,,,,,,Filling,Fluoride,,
Throat Irritation (Dust),ENT,Mild,Throat scratchiness,Dry cough,,,,,,Lozenges,Steam,,
Morning Sickness (Pregnancy),Hormonal,Mild,Nausea,Vomiting,,,,,,Ginger,Vitamin B6,Hydration,
Eye Allergies (Seasonal),Eye/Allergic,Mild,Itchy eyes,Red eyes,,,,,,Antihistamine drops,Cold compresses,,
Common Cold,Respiratory,Mild,Sneezing,Runny nose,Sore throat,Cough,,,,Paracetamol,Cetirizine,,
Influenza (Flu),Respiratory,Moderate,Fever,Chills,Muscle aches,Cough,Congestion,,,Oseltamivir,Ibuprofen,,
Asthma,Respiratory,Chronic,Shortness of breath,Chest tightness,Wheezing,Cough,,,,Salbutamol,Budesonide,,
Pneumonia,Respiratory,Severe,Difficulty breathing,Cough with phlegm,Fever,Chills,,,,Azithromycin,Amoxicillin,,
COVID-19,Infectious,Moderate,Loss of taste/smell,Fever,Cough,Fatigue,,,,Paracetamol,Dexamethasone,,
Tuberculosis (TB),Respiratory,Severe,Persistent cough,Weight loss,Night sweats,Chest pain,,,,Isoniazid,Rifampin,Pyrazinamide,
COPD,Respiratory,Chronic,Breathlessness,Chronic cough,Wheezing,,,,,Tiotropium,Salmeterol,,
Bronchitis,Respiratory,Mild,Cough,Mucus,Chest discomfort,Fatigue,Slight fever,,,Amoxicillin,Dextromethorphan,,
Sinusitis,ENT,Mild,Facial pain,Nasal congestion,Headache,Loss of smell,,,,Amoxicillin,Nasal saline spray,,
Tonsillitis,ENT,Mild,Sore throat,Difficulty swallowing,Swollen tonsils,Fever,,,,Penicillin,Ibuprofen,,
Otitis Media,ENT,Mild,Ear pain,Hearing difficulty,Fever,Irritability,,,,Amoxicillin,Acetaminophen,,
Allergic Rhinitis,Allergy,Mild,Sneezing,Runny nose,Nasal congestion,Itchy eyes,,,,Loratadine,Cetirizine,,
Migraine,Neurological,Moderate,Headache,Sensitivity to light,Sensitivity to sound,Nausea,,,,Sumatriptan,Naproxen,,
